# frame_start frame_end button
18240 18246 cross
18300 18306 down
18340 18346 cross
18390 18396 cross
18450 18456 down
18490 18496 cross
18540 18546 cross
18600 18606 down
18640 18646 cross
18690 18696 cross
18750 18756 down
18790 18796 cross
18840 18846 cross
18900 18906 down
18940 18946 cross
18990 18996 cross
19050 19056 down
19090 19096 cross
19140 19146 cross
19200 19206 down
19240 19246 cross
19290 19296 cross
19350 19356 down
19390 19396 cross
19440 19446 cross
19500 19506 down
19540 19546 cross
19590 19596 cross
19650 19656 down
19690 19696 cross
19740 19746 cross
19800 19806 down
19840 19846 cross
19890 19896 cross
19950 19956 down
19990 19996 cross
20040 20046 cross
20100 20106 down
20140 20146 cross
20190 20196 cross
20250 20256 down
20290 20296 cross
20340 20346 cross
20400 20406 down
20440 20446 cross
20490 20496 cross
20550 20556 down
20590 20596 cross
20640 20646 cross
20700 20706 down
20740 20746 cross
20790 20796 cross
20850 20856 down
20890 20896 cross
20940 20946 cross
21000 21006 down
21040 21046 cross
21090 21096 cross
21150 21156 down
21190 21196 cross
21240 21246 cross
21300 21306 down
21340 21346 cross
21390 21396 cross
21450 21456 down
21490 21496 cross
21540 21546 cross
21600 21606 down
21640 21646 cross
21690 21696 cross
21750 21756 down
21790 21796 cross
21840 21846 cross
21900 21906 down
21940 21946 cross
21990 21996 cross
22050 22056 down
22090 22096 cross
22140 22146 cross
22200 22206 down
22240 22246 cross
22290 22296 cross
22350 22356 down
22390 22396 cross
22440 22446 cross
22500 22506 down
22540 22546 cross
22590 22596 cross
22650 22656 down
22690 22696 cross
22740 22746 cross
22800 22806 down
22840 22846 cross
22890 22896 cross
22950 22956 down
22990 22996 cross
23040 23046 cross
23100 23106 down
23140 23146 cross
23190 23196 cross
23250 23256 down
23290 23296 cross
23340 23346 cross
23400 23406 down
23440 23446 cross
23490 23496 cross
23550 23556 down
23590 23596 cross
23640 23646 cross
23700 23706 down
23740 23746 cross
23790 23796 cross
23850 23856 down
23890 23896 cross
23940 23946 cross
24000 24006 down
24040 24046 cross
24090 24096 cross
24150 24156 down
24190 24196 cross
24240 24246 cross
24300 24306 down
24340 24346 cross
24390 24396 cross
24450 24456 down
24490 24496 cross
24540 24546 cross
24600 24606 down
24640 24646 cross
24690 24696 cross
24750 24756 down
24790 24796 cross
24840 24846 cross
24900 24906 down
24940 24946 cross
24990 24996 cross
25050 25056 down
25090 25096 cross
25140 25146 cross
25200 25206 down
25240 25246 cross
25290 25296 cross
25350 25356 down
25390 25396 cross
25440 25446 cross
25500 25506 down
25540 25546 cross
25590 25596 cross
25650 25656 down
25690 25696 cross
25740 25746 cross
25800 25806 down
25840 25846 cross
25890 25896 cross
25950 25956 down
25990 25996 cross
26040 26046 cross
26100 26106 down
26140 26146 cross
26190 26196 cross
26250 26256 down
26290 26296 cross
26340 26346 cross
26400 26406 down
26440 26446 cross
26490 26496 cross
26550 26556 down
26590 26596 cross
26640 26646 cross
26700 26706 down
26740 26746 cross
26790 26796 cross
26850 26856 down
26890 26896 cross
26940 26946 cross
27000 27006 down
27040 27046 cross
27090 27096 cross
27150 27156 down
27190 27196 cross
27240 27246 cross
27300 27306 down
27340 27346 cross
27390 27396 cross
27450 27456 down
27490 27496 cross
27540 27546 cross
27600 27606 down
27640 27646 cross
27690 27696 cross
27750 27756 down
27790 27796 cross
27840 27846 cross
27900 27906 down
27940 27946 cross
27990 27996 cross
28050 28056 down
28090 28096 cross
28140 28146 cross
28200 28206 down
28240 28246 cross
28290 28296 cross
28350 28356 down
28390 28396 cross
28440 28446 cross
28500 28506 down
28540 28546 cross
28590 28596 cross
28650 28656 down
28690 28696 cross
28740 28746 cross
28800 28806 down
28840 28846 cross
28890 28896 cross
28950 28956 down
28990 28996 cross
29040 29046 cross
29100 29106 down
29140 29146 cross
29190 29196 cross
29250 29256 down
29290 29296 cross
29340 29346 cross
29400 29406 down
29440 29446 cross
29490 29496 cross
29550 29556 down
29590 29596 cross
29640 29646 cross
29700 29706 down
29740 29746 cross
29790 29796 cross
29850 29856 down
29890 29896 cross
29940 29946 cross
30000 30006 down
30040 30046 cross
30090 30096 cross
30150 30156 down
30190 30196 cross
30240 30246 cross
30300 30306 down
30340 30346 cross
30390 30396 cross
30450 30456 down
30490 30496 cross
30540 30546 cross
30600 30606 down
30640 30646 cross
30690 30696 cross
30750 30756 down
30790 30796 cross
30840 30846 cross
30900 30906 down
30940 30946 cross
30990 30996 cross
31050 31056 down
31090 31096 cross
31140 31146 cross
31200 31206 down
31240 31246 cross
31290 31296 cross
31350 31356 down
31390 31396 cross
31440 31446 cross
31500 31506 down
31540 31546 cross
31590 31596 cross
31650 31656 down
31690 31696 cross
31740 31746 cross
31800 31806 down
31840 31846 cross
31890 31896 cross
31950 31956 down
31990 31996 cross
32040 32046 cross
32100 32106 down
32140 32146 cross
32190 32196 cross
32250 32256 down
32290 32296 cross
32340 32346 cross
32400 32406 down
32440 32446 cross
32490 32496 cross
32550 32556 down
32590 32596 cross
32640 32646 cross
32700 32706 down
32740 32746 cross
32790 32796 cross
32850 32856 down
32890 32896 cross
32940 32946 cross
33000 33006 down
33040 33046 cross
33090 33096 cross
33150 33156 down
33190 33196 cross
33240 33246 cross
33300 33306 down
33340 33346 cross
33390 33396 cross
33450 33456 down
33490 33496 cross
33540 33546 cross
33600 33606 down
33640 33646 cross
33690 33696 cross
33750 33756 down
33790 33796 cross
33840 33846 cross
33900 33906 down
33940 33946 cross
33990 33996 cross
34050 34056 down
34090 34096 cross
34140 34146 cross
34200 34206 down
34240 34246 cross
34290 34296 cross
34350 34356 down
34390 34396 cross
34440 34446 cross
34500 34506 down
34540 34546 cross
34590 34596 cross
34650 34656 down
34690 34696 cross
34740 34746 cross
34800 34806 down
34840 34846 cross
34890 34896 cross
34950 34956 down
34990 34996 cross
35040 35046 cross
35100 35106 down
35140 35146 cross
35190 35196 cross
35250 35256 down
35290 35296 cross
35340 35346 cross
35400 35406 down
35440 35446 cross
35490 35496 cross
35550 35556 down
35590 35596 cross
35640 35646 cross
35700 35706 down
35740 35746 cross
35790 35796 cross
35850 35856 down
35890 35896 cross
35940 35946 cross
36000 36006 down
36040 36046 cross
36090 36096 cross
36150 36156 down
36190 36196 cross
36240 36246 cross
36300 36306 down
36340 36346 cross
36390 36396 cross
36450 36456 down
36490 36496 cross
36540 36546 cross
36600 36606 down
36640 36646 cross
36690 36696 cross
36750 36756 down
36790 36796 cross
36840 36846 cross
36900 36906 down
36940 36946 cross
36990 36996 cross
37050 37056 down
37090 37096 cross
37140 37146 cross
37200 37206 down
37240 37246 cross
37290 37296 cross
37350 37356 down
37390 37396 cross
37440 37446 cross
37500 37506 down
37540 37546 cross
37590 37596 cross
37650 37656 down
37690 37696 cross
37740 37746 cross
37800 37806 down
37840 37846 cross
37890 37896 cross
37950 37956 down
37990 37996 cross
38040 38046 cross
38100 38106 down
38140 38146 cross
38190 38196 cross
38250 38256 down
38290 38296 cross
38340 38346 cross
38400 38406 down
38440 38446 cross
38490 38496 cross
38550 38556 down
38590 38596 cross
38640 38646 cross
38700 38706 down
38740 38746 cross
38790 38796 cross
38850 38856 down
38890 38896 cross
38940 38946 cross
39000 39006 down
39040 39046 cross
39090 39096 cross
39150 39156 down
39190 39196 cross
39240 39246 cross
39300 39306 down
39340 39346 cross
39390 39396 cross
39450 39456 down
39490 39496 cross
39540 39546 cross
39600 39606 down
39640 39646 cross
39690 39696 cross
39750 39756 down
39790 39796 cross
39840 39846 cross
39900 39906 down
39940 39946 cross
39990 39996 cross
40050 40056 down
40090 40096 cross
40140 40146 cross
40200 40206 down
40240 40246 cross
40290 40296 cross
40350 40356 down
40390 40396 cross
40440 40446 cross
40500 40506 down
40540 40546 cross
40590 40596 cross
40650 40656 down
40690 40696 cross
40740 40746 cross
40800 40806 down
40840 40846 cross
40890 40896 cross
40950 40956 down
40990 40996 cross
41040 41046 cross
41100 41106 down
41140 41146 cross
41190 41196 cross
41250 41256 down
41290 41296 cross
41340 41346 cross
41400 41406 down
41440 41446 cross
41490 41496 cross
41550 41556 down
41590 41596 cross
41640 41646 cross
41700 41706 down
41740 41746 cross
41790 41796 cross
41850 41856 down
41890 41896 cross
41940 41946 cross
42000 42006 down
42040 42046 cross
42090 42096 cross
42150 42156 down
42190 42196 cross
42240 42246 cross
42300 42306 down
42340 42346 cross
42390 42396 cross
42450 42456 down
42490 42496 cross
42540 42546 cross
42600 42606 down
42640 42646 cross
42690 42696 cross
42750 42756 down
42790 42796 cross
42840 42846 cross
42900 42906 down
42940 42946 cross
42990 42996 cross
43050 43056 down
43090 43096 cross
43140 43146 cross
43200 43206 down
43240 43246 cross
43290 43296 cross
43350 43356 down
43390 43396 cross
43440 43446 cross
43500 43506 down
43540 43546 cross
43590 43596 cross
43650 43656 down
43690 43696 cross
43740 43746 cross
43800 43806 down
43840 43846 cross
43890 43896 cross
43950 43956 down
43990 43996 cross
44040 44046 cross
44100 44106 down
44140 44146 cross
44190 44196 cross
44250 44256 down
44290 44296 cross
44340 44346 cross
44400 44406 down
44440 44446 cross
44490 44496 cross
44550 44556 down
44590 44596 cross
44640 44646 cross
44700 44706 down
44740 44746 cross
44790 44796 cross
44850 44856 down
44890 44896 cross
44940 44946 cross
45000 45006 down
45040 45046 cross
45090 45096 cross
45150 45156 down
45190 45196 cross
45240 45246 cross
45300 45306 down
45340 45346 cross
45390 45396 cross
45450 45456 down
45490 45496 cross
45540 45546 cross
45600 45606 down
45640 45646 cross
45690 45696 cross
45750 45756 down
45790 45796 cross
45840 45846 cross
45900 45906 down
45940 45946 cross
45990 45996 cross
46050 46056 down
46090 46096 cross
46140 46146 cross
46200 46206 down
46240 46246 cross
46290 46296 cross
46350 46356 down
46390 46396 cross
46440 46446 cross
46500 46506 down
46540 46546 cross
46590 46596 cross
46650 46656 down
46690 46696 cross
46740 46746 cross
46800 46806 down
46840 46846 cross
46890 46896 cross
46950 46956 down
46990 46996 cross
47040 47046 cross
47100 47106 down
47140 47146 cross
47190 47196 cross
47250 47256 down
47290 47296 cross
47340 47346 cross
47400 47406 down
47440 47446 cross
47490 47496 cross
47550 47556 down
47590 47596 cross
47640 47646 cross
47700 47706 down
47740 47746 cross
47790 47796 cross
47850 47856 down
47890 47896 cross
47940 47946 cross
48000 48006 down
48040 48046 cross
48090 48096 cross
48150 48156 down
48190 48196 cross
48240 48246 cross
48300 48306 down
48340 48346 cross
48390 48396 cross
48450 48456 down
48490 48496 cross
48540 48546 cross
48600 48606 down
48640 48646 cross
48690 48696 cross
48750 48756 down
48790 48796 cross
48840 48846 cross
48900 48906 down
48940 48946 cross
48990 48996 cross
49050 49056 down
49090 49096 cross
49140 49146 cross
49200 49206 down
49240 49246 cross
49290 49296 cross
49350 49356 down
49390 49396 cross
49440 49446 cross
49500 49506 down
49540 49546 cross
49590 49596 cross
49650 49656 down
49690 49696 cross
49740 49746 cross
49800 49806 down
49840 49846 cross
49890 49896 cross
49950 49956 down
49990 49996 cross
50040 50046 cross
50100 50106 down
50140 50146 cross
50190 50196 cross
50250 50256 down
50290 50296 cross
50340 50346 cross
50400 50406 down
50440 50446 cross
50490 50496 cross
50550 50556 down
50590 50596 cross
50640 50646 cross
50700 50706 down
50740 50746 cross
50790 50796 cross
50850 50856 down
50890 50896 cross
50940 50946 cross
51000 51006 down
51040 51046 cross
51090 51096 cross
51150 51156 down
51190 51196 cross
51240 51246 cross
51300 51306 down
51340 51346 cross
51390 51396 cross
51450 51456 down
51490 51496 cross
51540 51546 cross
51600 51606 down
51640 51646 cross
51690 51696 cross
51750 51756 down
51790 51796 cross
51840 51846 cross
51900 51906 down
51940 51946 cross
51990 51996 cross
52050 52056 down
52090 52096 cross
52140 52146 cross
52200 52206 down
52240 52246 cross
52290 52296 cross
52350 52356 down
52390 52396 cross
52440 52446 cross
52500 52506 down
52540 52546 cross
52590 52596 cross
52650 52656 down
52690 52696 cross
52740 52746 cross
52800 52806 down
52840 52846 cross
52890 52896 cross
52950 52956 down
52990 52996 cross
53040 53046 cross
53100 53106 down
53140 53146 cross
53190 53196 cross
53250 53256 down
53290 53296 cross
53340 53346 cross
53400 53406 down
53440 53446 cross
53490 53496 cross
53550 53556 down
53590 53596 cross
53640 53646 cross
53700 53706 down
53740 53746 cross
53790 53796 cross
53850 53856 down
53890 53896 cross
53940 53946 cross
54000 54006 down
54040 54046 cross
54090 54096 cross
54150 54156 down
54190 54196 cross
54240 54246 cross
54300 54306 down
54340 54346 cross
54390 54396 cross
54450 54456 down
54490 54496 cross
54540 54546 cross
54600 54606 down
54640 54646 cross
54690 54696 cross
54750 54756 down
54790 54796 cross
54840 54846 cross
54900 54906 down
54940 54946 cross
54990 54996 cross
55050 55056 down
55090 55096 cross
55140 55146 cross
55200 55206 down
55240 55246 cross
55290 55296 cross
55350 55356 down
55390 55396 cross
55440 55446 cross
55500 55506 down
55540 55546 cross
55590 55596 cross
55650 55656 down
55690 55696 cross
55740 55746 cross
55800 55806 down
55840 55846 cross
55890 55896 cross
55950 55956 down
55990 55996 cross
56040 56046 cross
56100 56106 down
56140 56146 cross
56190 56196 cross
56250 56256 down
56290 56296 cross
56340 56346 cross
56400 56406 down
56440 56446 cross
56490 56496 cross
56550 56556 down
56590 56596 cross
56640 56646 cross
56700 56706 down
56740 56746 cross
56790 56796 cross
56850 56856 down
56890 56896 cross
56940 56946 cross
57000 57006 down
57040 57046 cross
57090 57096 cross
57150 57156 down
57190 57196 cross
57240 57246 cross
57300 57306 down
57340 57346 cross
57390 57396 cross
57450 57456 down
57490 57496 cross
57540 57546 cross
57600 57606 down
57640 57646 cross
57690 57696 cross
57750 57756 down
57790 57796 cross
57840 57846 cross
57900 57906 down
57940 57946 cross
57990 57996 cross
58050 58056 down
58090 58096 cross
58140 58146 cross
58200 58206 down
58240 58246 cross
58290 58296 cross
58350 58356 down
58390 58396 cross
58440 58446 cross
58500 58506 down
58540 58546 cross
58590 58596 cross
58650 58656 down
58690 58696 cross
58740 58746 cross
58800 58806 down
58840 58846 cross
58890 58896 cross
58950 58956 down
58990 58996 cross
59040 59046 cross
59100 59106 down
59140 59146 cross
59190 59196 cross
59250 59256 down
59290 59296 cross
59340 59346 cross
59400 59406 down
59440 59446 cross
59490 59496 cross
59550 59556 down
59590 59596 cross
59640 59646 cross
59700 59706 down
59740 59746 cross
59790 59796 cross
59850 59856 down
59890 59896 cross
59940 59946 cross
60000 60006 down
60040 60046 cross
60090 60096 cross
60150 60156 down
60190 60196 cross
60240 60246 cross
60300 60306 down
60340 60346 cross
60390 60396 cross
60450 60456 down
60490 60496 cross
60540 60546 cross
60600 60606 down
60640 60646 cross
60690 60696 cross
60750 60756 down
60790 60796 cross
60840 60846 cross
60900 60906 down
60940 60946 cross
60990 60996 cross
61050 61056 down
61090 61096 cross
61140 61146 cross
61200 61206 down
61240 61246 cross
61290 61296 cross
61350 61356 down
61390 61396 cross
61440 61446 cross
61500 61506 down
61540 61546 cross
61590 61596 cross
61650 61656 down
61690 61696 cross
61740 61746 cross
61800 61806 down
61840 61846 cross
61890 61896 cross
61950 61956 down
61990 61996 cross
62040 62046 cross
62100 62106 down
62140 62146 cross
62190 62196 cross
62250 62256 down
62290 62296 cross
62340 62346 cross
62400 62406 down
62440 62446 cross
62490 62496 cross
62550 62556 down
62590 62596 cross
62640 62646 cross
62700 62706 down
62740 62746 cross
62790 62796 cross
62850 62856 down
62890 62896 cross
62940 62946 cross
63000 63006 down
63040 63046 cross
63090 63096 cross
63150 63156 down
63190 63196 cross
63240 63246 cross
63300 63306 down
63340 63346 cross
63390 63396 cross
63450 63456 down
63490 63496 cross
63540 63546 cross
63600 63606 down
63640 63646 cross
63690 63696 cross
63750 63756 down
63790 63796 cross
63840 63846 cross
63900 63906 down
63940 63946 cross
63990 63996 cross
64050 64056 down
64090 64096 cross
64140 64146 cross
64200 64206 down
64240 64246 cross
64290 64296 cross
64350 64356 down
64390 64396 cross
64440 64446 cross
64500 64506 down
64540 64546 cross
64590 64596 cross
64650 64656 down
64690 64696 cross
64740 64746 cross
64800 64806 down
64840 64846 cross
64890 64896 cross
64950 64956 down
64990 64996 cross
65040 65046 cross
65100 65106 down
65140 65146 cross
65190 65196 cross
65250 65256 down
65290 65296 cross
65340 65346 cross
65400 65406 down
65440 65446 cross
65490 65496 cross
65550 65556 down
65590 65596 cross
65640 65646 cross
65700 65706 down
65740 65746 cross
65790 65796 cross
65850 65856 down
65890 65896 cross
65940 65946 cross
66000 66006 down
66040 66046 cross
66090 66096 cross
66150 66156 down
66190 66196 cross
66240 66246 cross
66300 66306 down
66340 66346 cross
66390 66396 cross
66450 66456 down
66490 66496 cross
66540 66546 cross
66600 66606 down
66640 66646 cross
66690 66696 cross
66750 66756 down
66790 66796 cross
66840 66846 cross
66900 66906 down
66940 66946 cross
66990 66996 cross
67050 67056 down
67090 67096 cross
67140 67146 cross
67200 67206 down
67240 67246 cross
67290 67296 cross
67350 67356 down
67390 67396 cross
67440 67446 cross
67500 67506 down
67540 67546 cross
67590 67596 cross
67650 67656 down
67690 67696 cross
67740 67746 cross
67800 67806 down
67840 67846 cross
67890 67896 cross
67950 67956 down
67990 67996 cross
68040 68046 cross
68100 68106 down
68140 68146 cross
68190 68196 cross
68250 68256 down
68290 68296 cross
68340 68346 cross
68400 68406 down
68440 68446 cross
68490 68496 cross
68550 68556 down
68590 68596 cross
68640 68646 cross
68700 68706 down
68740 68746 cross
68790 68796 cross
68850 68856 down
68890 68896 cross
68940 68946 cross
69000 69006 down
69040 69046 cross
69090 69096 cross
69150 69156 down
69190 69196 cross
69240 69246 cross
69300 69306 down
69340 69346 cross
69390 69396 cross
69450 69456 down
69490 69496 cross
69540 69546 cross
69600 69606 down
69640 69646 cross
69690 69696 cross
69750 69756 down
69790 69796 cross
69840 69846 cross
69900 69906 down
69940 69946 cross
69990 69996 cross
70050 70056 down
70090 70096 cross
70140 70146 cross
70200 70206 down
70240 70246 cross
70290 70296 cross
70350 70356 down
70390 70396 cross
70440 70446 cross
70500 70506 down
70540 70546 cross
70590 70596 cross
70650 70656 down
70690 70696 cross
70740 70746 cross
70800 70806 down
70840 70846 cross
70890 70896 cross
70950 70956 down
70990 70996 cross
71040 71046 cross
71100 71106 down
71140 71146 cross
71190 71196 cross
71250 71256 down
71290 71296 cross
71340 71346 cross
71400 71406 down
71440 71446 cross
71490 71496 cross
71550 71556 down
71590 71596 cross
71640 71646 cross
71700 71706 down
71740 71746 cross
71790 71796 cross
71850 71856 down
71890 71896 cross
71940 71946 cross
72000 72006 down
72040 72046 cross
72090 72096 cross
72150 72156 down
72190 72196 cross
72240 72246 cross
72300 72306 down
72340 72346 cross
72390 72396 cross
72450 72456 down
72490 72496 cross
72540 72546 cross
72600 72606 down
72640 72646 cross
72690 72696 cross
72750 72756 down
72790 72796 cross
72840 72846 cross
72900 72906 down
72940 72946 cross
72990 72996 cross
73050 73056 down
73090 73096 cross
73140 73146 cross
73200 73206 down
73240 73246 cross
73290 73296 cross
73350 73356 down
73390 73396 cross
73440 73446 cross
73500 73506 down
73540 73546 cross
73590 73596 cross
73650 73656 down
73690 73696 cross
73740 73746 cross
73800 73806 down
73840 73846 cross
73890 73896 cross
73950 73956 down
73990 73996 cross
74040 74046 cross
74100 74106 down
74140 74146 cross
74190 74196 cross
74250 74256 down
74290 74296 cross
74340 74346 cross
74400 74406 down
74440 74446 cross
74490 74496 cross
74550 74556 down
74590 74596 cross
74640 74646 cross
74700 74706 down
74740 74746 cross
74790 74796 cross
74850 74856 down
74890 74896 cross
74940 74946 cross
75000 75006 down
75040 75046 cross
75090 75096 cross
75150 75156 down
75190 75196 cross
75240 75246 cross
75300 75306 down
75340 75346 cross
75390 75396 cross
75450 75456 down
75490 75496 cross
75540 75546 cross
75600 75606 down
75640 75646 cross
75690 75696 cross
75750 75756 down
75790 75796 cross
75840 75846 cross
75900 75906 down
75940 75946 cross
75990 75996 cross
76050 76056 down
76090 76096 cross
76140 76146 cross
76200 76206 down
76240 76246 cross
76290 76296 cross
76350 76356 down
76390 76396 cross
76440 76446 cross
76500 76506 down
76540 76546 cross
76590 76596 cross
76650 76656 down
76690 76696 cross
76740 76746 cross
76800 76806 down
76840 76846 cross
76890 76896 cross
76950 76956 down
76990 76996 cross
77040 77046 cross
77100 77106 down
77140 77146 cross
77190 77196 cross
77250 77256 down
77290 77296 cross
77340 77346 cross
77400 77406 down
77440 77446 cross
77490 77496 cross
77550 77556 down
77590 77596 cross
77640 77646 cross
77700 77706 down
77740 77746 cross
77790 77796 cross
77850 77856 down
77890 77896 cross
77940 77946 cross
78000 78006 down
78040 78046 cross
78090 78096 cross
78150 78156 down
78190 78196 cross
78240 78246 cross
78300 78306 down
78340 78346 cross
78390 78396 cross
78450 78456 down
78490 78496 cross
78540 78546 cross
78600 78606 down
78640 78646 cross
78690 78696 cross
78750 78756 down
78790 78796 cross
78840 78846 cross
78900 78906 down
78940 78946 cross
78990 78996 cross
79050 79056 down
79090 79096 cross
79140 79146 cross
79200 79206 down
79240 79246 cross
79290 79296 cross
79350 79356 down
79390 79396 cross
79440 79446 cross
79500 79506 down
79540 79546 cross
79590 79596 cross
79650 79656 down
79690 79696 cross
79740 79746 cross
79800 79806 down
79840 79846 cross
79890 79896 cross
79950 79956 down
79990 79996 cross
80040 80046 cross
80100 80106 down
80140 80146 cross
80190 80196 cross
80250 80256 down
80290 80296 cross
80340 80346 cross
80400 80406 down
80440 80446 cross
80490 80496 cross
80550 80556 down
80590 80596 cross
80640 80646 cross
80700 80706 down
80740 80746 cross
80790 80796 cross
80850 80856 down
80890 80896 cross
80940 80946 cross
81000 81006 down
81040 81046 cross
81090 81096 cross
81150 81156 down
81190 81196 cross
81240 81246 cross
81300 81306 down
